id,apk_name,apk_path,size_bytes,container_status,in_full_train_csv,label,year,pkg_name
642874a99c13f44c5fc8be7d810fec561131ab2a4009077e8947c3cd4efbcdc0,642874a99c13f44c5fc8be7d810fec561131ab2a4009077e8947c3cd4efbcdc0.apk,E:\train\train\642874a99c13f44c5fc8be7d810fec561131ab2a4009077e8947c3cd4efbcdc0.apk,16468624,valid_apk_container,1,1,2021,com.ruslan.korzh.celebrity.wedding.dressup
649eb6a209a721e84d6fd3138c46086814246484a4ea756e7ee4694cde1e95fe,649eb6a209a721e84d6fd3138c46086814246484a4ea756e7ee4694cde1e95fe.apk,E:\train\train\649eb6a209a721e84d6fd3138c46086814246484a4ea756e7ee4694cde1e95fe.apk,27285623,valid_apk_container,0,,,
670035ce8e63327a8d153563a5d6f3d90a88b9890cbf49dbbd896a9ae6d38ef9,670035ce8e63327a8d153563a5d6f3d90a88b9890cbf49dbbd896a9ae6d38ef9.apk,E:\train\train\670035ce8e63327a8d153563a5d6f3d90a88b9890cbf49dbbd896a9ae6d38ef9.apk,48990798,valid_apk_container,0,,,
692bc2fbf0b977609f7cd105945431d20f70e1847957118a181921b34622c81e,692bc2fbf0b977609f7cd105945431d20f70e1847957118a181921b34622c81e.apk,E:\train\train\692bc2fbf0b977609f7cd105945431d20f70e1847957118a181921b34622c81e.apk,17369776,valid_apk_container,0,,,
698bdda23076aeddf91612d6951a35a24d8573afefa540f4f6ed56acdaac91fc,698bdda23076aeddf91612d6951a35a24d8573afefa540f4f6ed56acdaac91fc.apk,E:\train\train\698bdda23076aeddf91612d6951a35a24d8573afefa540f4f6ed56acdaac91fc.apk,8454711,valid_apk_container,1,1,2021,com.wSafelinkU_13493370
69aa20d3115e0c5a7436a554636d0bc7adf2384a477ea25e58bac97c01b98919,69aa20d3115e0c5a7436a554636d0bc7adf2384a477ea25e58bac97c01b98919.apk,E:\train\train\69aa20d3115e0c5a7436a554636d0bc7adf2384a477ea25e58bac97c01b98919.apk,227495,valid_apk_container,1,0,2020,com.myeduter_ranjitnair.web2apk
69d3fb64ae1ada0cada227a56f493fc28247399e8726c9898ca6459874b63016,69d3fb64ae1ada0cada227a56f493fc28247399e8726c9898ca6459874b63016.apk,E:\train\train\69d3fb64ae1ada0cada227a56f493fc28247399e8726c9898ca6459874b63016.apk,1475812,valid_apk_container,1,1,2022,com.amixcz7520.bzx7520cim
69e4f42d42c032d3fa0edad4a11a7c00bb83d9456a87145b63920132dcf3765a,69e4f42d42c032d3fa0edad4a11a7c00bb83d9456a87145b63920132dcf3765a.apk,E:\train\train\69e4f42d42c032d3fa0edad4a11a7c00bb83d9456a87145b63920132dcf3765a.apk,32396341,valid_apk_container,1,0,2021,com.appsolve.www.novanilla
6a2dbecdbf6db26d1637618c2c9929ca4746f42728ccd83944450ae943baf186,6a2dbecdbf6db26d1637618c2c9929ca4746f42728ccd83944450ae943baf186.apk,E:\train\train\6a2dbecdbf6db26d1637618c2c9929ca4746f42728ccd83944450ae943baf186.apk,27757447,valid_apk_container,1,0,2021,com.lnt.LnTPriceListApp
6c5fc05f35ef8ce4801214d9104036063eaea0d5e80179c1d9f022818c5ce211,6c5fc05f35ef8ce4801214d9104036063eaea0d5e80179c1d9f022818c5ce211.apk,E:\train\train\6c5fc05f35ef8ce4801214d9104036063eaea0d5e80179c1d9f022818c5ce211.apk,10567812,valid_apk_container,0,,,
